(0.7, 1.8, 5.1)
(0.7, 1.8, 6.3)
(0.7, 1.8, 7.5)
(0.7, 1.8, 8.6)
16, 2
(0.2, 1.8, -1.2)
(0.6, 1.8, -0.2)
(0.6, 1.8, -0.2)
(0.6, 1.8, -0.2)
(0.6, 1.8, -0.2)
(0.4, 1.8, 0.1)
(-0.2, 1.8, 1.3)
(-0.7, 1.8, 2.5)
(-0.7, 1.8, 3.7)
(-0.7, 1.8, 4.9)
(-0.7, 1.8, 6.0)
(-0.7, 1.8, 7.2)
(-0.7, 1.8, 8.4)
16, 3
(-0.1, 1.6, -1.3)
(-0.7, 1.8, -0.2)
(-0.7, 1.8, -0.2)
(-0.7, 1.8, -0.2)
(0.0, 1.8, 0.2)
(0.7, 1.8, 0.4)
(0.7, 1.8, 0.9)
(0.7, 1.8, 1.9)
(0.7, 1.8, 3.0)
(0.7, 1.8, 4.1)
(0.7, 1.8, 5.2)
(0.7, 1.8, 6.3)
(0.7, 1.8, 7.5)
(0.7, 1.8, 8.6)
16, 4
(0.2, 1.8, -1.2)
(0.7, 1.8, -0.3)
(0.7, 1.8, -0.2)
(0.7, 1.8, -0.2)
(0.5, 1.8, -0.1)
(0.0, 1.8, 0.3)
(-0.7, 1.8, -0.5)
(-0.7, 1.8, -0.5)
(-0.7, 1.8, 0.1)
(-0.7, 1.8, 1.2)
(-0.5, 1.8, 2.5)
(-0.1, 1.8, 3.9)
(0.1, 1.8, 5.2)
(0.4, 1.8, 6.5)
(0.7, 1.8, 7.9)
(0.7, 1.8, 9.2)
16, 5
(0.2, 1.8, -0.4)
(0.3, 1.8, -0.1)
(0.3, 1.8, -0.1)
(0.2, 1.8, 0.0)
(-0.5, 1.8, 1.0)
(-0.7, 1.8, 2.2)
(-0.7, 1.8, 3.5)
(-0.7, 1.8, 4.6)
(-0.7, 1.8, 5.7)
(-0.7, 1.8, 6.9)
(-0.7, 1.8, 8.0)
(-1.0, 1.8, 9.2)
16, 6
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(-0.7, 1.8, -1.5)
(-0.7, 1.8, -1.6)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.6, 1.8, -2.0)
(0.5, 1.8, -2.0)
(0.7, 1.8, -2.0)
(0.7, 1.8, -2.0)
(0.7, 1.8, -2.0)
(0.7, 1.8, -2.0)
(0.6, 1.8, -2.0)
(0.6, 1.8, -2.0)
(0.6, 1.8, -1.3)
(-0.2, 1.8, -0.2)
(-0.7, 1.8, 0.7)
(-0.7, 1.8, 1.2)
(-0.7, 1.8, 1.0)
(-0.7, 1.8, 0.8)
(-0.7, 1.8, 0.5)
(-0.7, 1.8, -0.2)
(-0.4, 1.8, -1.4)
(0.1, 1.8, -1.6)
(0.7, 1.8, -1.6)
(0.7, 1.8, -1.4)
(0.7, 1.8, -1.0)
(0.7, 1.8, -1.0)
(0.7, 1.8, -0.8)
(0.7, 1.8, 0.4)
(0.6, 1.8, 1.7)
(0.6, 1.8, 3.1)
(0.5, 1.8, 4.5)
(0.4, 1.8, 5.8)
(0.4, 1.8, 7.2)
(0.4, 1.8, 8.6)
17, 1
(0.0, 1.8, -1.0)
(0.1, 1.8, 0.1)
(0.1, 1.8, 0.2)
(0.0, 1.8, 0.2)
(-0.7, 1.8, 0.5)
(-0.7, 1.8, 1.6)
(-0.7, 1.8, 3.0)
(-0.7, 1.8, 4.3)
(-0.7, 1.8, 5.7)
(-0.7, 1.8, 7.1)
(-0.7, 1.8, 8.4)
17, 2
(0.0, 1.8, -1.1)
(-0.1, 1.8, 0.1)
(-0.1, 1.8, 0.2)
(-0.1, 1.8, 0.2)
(0.5, 1.8, -0.2)
(0.7, 1.8, 0.1)
(0.7, 1.8, 1.3)
(0.1, 1.8, 2.0)
(-0.7, 1.8, 2.8)
(-0.7, 1.8, 3.7)
(-0.7, 1.8, 4.6)
(-0.1, 1.8, 5.8)
(0.7, 1.8, 6.8)
(0.7, 1.8, 7.7)
(0.7, 1.8, 8.7)
17, 3
(0.3, 1.8, -1.2)
(0.6, 1.8, -0.2)
(0.6, 1.8, -0.2)
(0.6, 1.8, -0.2)
(0.6, 1.8, -0.2)
(0.6, 1.8, -0.2)
(-0.2, 1.8, -0.4)
(-0.7, 1.8, -0.8)
(-0.7, 1.8, 0.0)
(-0.7, 1.8, 1.3)
(-0.7, 1.8, 2.6)
(-0.7, 1.8, 3.8)
(-0.7, 1.8, 5.1)
(-0.7, 1.8, 6.4)
(-0.7, 1.8, 7.7)
(-0.9, 1.8, 9.0)
17, 4
(-0.3, 1.8, -0.6)
(-0.6, 1.8, 0.3)
(-0.6, 1.8, 0.3)
(-0.6, 1.8, 0.3)
(-0.6, 1.8, 0.3)
(-0.6, 1.8, 0.3)
(-0.6, 1.8, 0.3)
(0.5, 1.8, -0.1)
(0.7, 1.8, -0.4)
(0.7, 1.8, 0.7)
(0.7, 1.8, 2.0)
(0.7, 1.8, 3.3)
(0.5, 1.8, 4.6)
(0.0, 1.8, 5.8)
(-0.6, 1.8, 7.0)
(0.3, 1.8, 7.9)
(0.7, 1.8, 8.5)
(0.7, 1.8, 9.1)
17, 5
(0.6, 1.8, -1.2)
(0.7, 1.8, -0.6)
(0.7, 1.8, -0.6)
(0.7, 1.8, -0.6)
(-0.1, 1.8, -1.2)
(-0.7, 1.8, -1.0)
(-0.7, 1.8, 0.2)
(-0.7, 1.8, 1.3)
(-0.7, 1.8, 2.5)
(-0.7, 1.8, 3.7)
(-0.7, 1.8, 4.8)
(-0.7, 1.8, 6.0)
(-0.7, 1.8, 7.2)
(-0.7, 1.8, 8.4)
17, 6
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.4)
(0.6, 1.8, -0.7)
(0.7, 1.8, 0.4)
(0.7, 1.8, 1.5)
(0.7, 1.8, 2.6)
(0.7, 1.8, 3.8)
(0.7, 1.8, 4.9)
(0.7, 1.8, 5.6)
(0.7, 1.8, 5.1)
(0.7, 1.8, 4.0)
(0.7, 1.8, 2.9)
(0.7, 1.8, 1.9)
(0.7, 1.8, 1.9)
(0.7, 1.8, 3.1)
(0.7, 1.8, 3.5)
(0.7, 1.8, 2.8)
(0.6, 1.8, 2.8)
(0.6, 1.8, 2.8)
(0.6, 1.8, 2.8)
(0.6, 1.8, 2.8)
(0.6, 1.8, 2.8)
(0.7, 1.8, 2.9)
(0.7, 1.8, 3.8)
(0.7, 1.8, 5.1)
(0.5, 1.8, 6.5)
(-0.5, 1.8, 7.3)
(-0.7, 1.8, 8.0)
(-0.8, 1.8, 8.7)
18, 1
(0.0, 1.6, -1.3)
(0.0, 1.8, 0.1)
(0.0, 1.8, 0.4)
(0.0, 1.8, 0.4)
(0.0, 1.8, 0.4)
(0.0, 1.8, 0.4)
(0.0, 1.8, 0.4)
(0.0, 1.8, 0.4)
(0.2, 1.8, 0.4)
(0.6, 1.8, 1.3)
(0.1, 1.8, 2.6)
(-0.4, 1.8, 3.9)
(-0.7, 1.8, 5.3)
(-0.7, 1.8, 6.6)
(-0.7, 1.8, 7.9)
(-0.9, 1.8, 9.1)
18, 2
(-0.4, 1.8, -0.6)
(-0.7, 1.8, 0.3)
(-0.7, 1.8, 0.3)
(-0.5, 1.8, 1.1)
(-0.3, 1.8, 2.5)
(-0.1, 1.8, 3.9)
(0.0, 1.8, 5.3)
(0.1, 1.8, 6.6)
(0.2, 1.8, 8.0)
(0.2, 1.8, 9.3)
18, 3
(-0.1, 1.8, -0.2)
(-0.2, 1.8, 0.4)
(-0.3, 1.8, 1.1)
(-0.5, 1.8, 2.5)
(-0.7, 1.8, 3.8)
(-0.7, 1.8, 5.1)
(-0.7, 1.8, 6.5)
(-0.7, 1.8, 7.8)
(-0.9, 1.8, 9.1)
18, 4
(-0.4, 1.8, -0.5)
(-0.7, 1.8, 0.4)
(-0.7, 1.8, 0.4)
(-0.2, 1.8, -0.1)
(0.7, 1.8, -0.8)
(0.7, 1.8, -0.5)
(0.7, 1.8, 0.4)
(0.7, 1.8, 1.6)
(0.7, 1.8, 2.9)
(0.7, 1.8, 4.2)
(0.7, 1.8, 5.6)
(0.2, 1.8, 6.9)
(-0.7, 1.8, 7.8)
(-0.7, 1.8, 8.5)
18, 5
(-0.2, 1.8, -1.2)
(-0.7, 1.8, -0.1)
(-0.7, 1.8, 0.0)
(-0.7, 1.8, 0.0)
(-0.7, 1.8, 0.0)
(-0.7, 1.8, 0.0)
(-0.2, 1.8, -0.7)
(0.7, 1.8, -1.3)
(0.7, 1.8, -0.5)
(0.7, 1.8, 0.4)
(0.7, 1.8, 1.5)
(0.7, 1.8, 2.8)
(0.7, 1.8, 4.0)
(0.7, 1.8, 5.3)
(0.7, 1.8, 6.5)
(0.7, 1.8, 7.7)
(0.7, 1.8, 8.9)
18, 6
(0.3, 1.8, -0.8)
(0.7, 1.8, 0.1)
(0.7, 1.8, 0.1)
(0.7, 1.8, 0.1)
(0.7, 1.8, 0.1)
(0.7, 1.8, 0.1)
(0.7, 1.8, 0.1)
(0.2, 1.8, 0.9)
(-0.5, 1.8, 2.1)
(-0.7, 1.8, 3.3)
(-0.7, 1.8, 4.4)
(-0.7, 1.8, 5.6)
(-0.7, 1.8, 6.7)
(-0.7, 1.8, 7.9)
(-1.0, 1.8, 9.1)
19, 1
(-0.5, 1.8, -0.7)
(-0.7, 1.8, -0.1)
(-0.7, 1.8, -0.1)
(-0.7, 1.8, -0.1)
(-0.7, 1.8, -0.1)
(-0.6, 1.8, -0.2)
(0.7, 1.8, -0.1)
(0.7, 1.8, 0.1)
(-0.3, 1.8, 0.0)
(-0.7, 1.8, 0.3)
(-0.7, 1.8, 1.6)
(-0.7, 1.8, 3.0)
(-0.7, 1.8, 4.0)
(-0.7, 1.8, 3.8)
(0.2, 1.8, 4.0)
(0.7, 1.8, 4.2)
(0.7, 1.8, 4.7)
(0.5, 1.8, 6.0)
(0.2, 1.8, 7.4)
(0.0, 1.8, 8.7)
19, 2
(-0.1, 1.8, -0.9)
(-0.3, 1.8, 0.2)
(-0.3, 1.8, 0.2)
(-0.7, 1.8, -0.1)
(-0.7, 1.8, -0.2)
(-0.7, 1.8, 1.0)
(0.1, 1.8, 1.9)
(0.7, 1.8, 2.5)
(0.7, 1.8, 3.1)
(-0.3, 1.8, 2.7)
(-0.7, 1.8, 3.0)
(-0.7, 1.8, 3.3)
(-0.7, 1.8, 2.8)
(-0.7, 1.8, 3.6)
(-0.7, 1.8, 4.9)
(-0.7, 1.8, 6.1)
(-0.7, 1.8, 7.3)
(-0.7, 1.8, 8.6)
19, 3
(-0.2, 1.8, -1.0)
(-0.6, 1.8, 0.0)
(-0.6, 1.8, 0.0)
(0.3, 1.8, 0.1)
(0.7, 1.8, 0.6)
(0.6, 1.8, 1.9)
(-0.4, 1.8, 2.8)
(-0.7, 1.8, 3.8)
(-0.7, 1.8, 5.1)
(-0.7, 1.8, 6.5)
(-0.7, 1.8, 7.8)
(-0.8, 1.8, 9.1)
19, 4
(-0.2, 1.8, -0.5)
(-0.2, 1.8, 0.0)
(0.2, 1.8, 0.1)
(0.7, 1.8, 0.3)
(-0.1, 1.8, 0.1)
(-0.7, 1.8, 0.2)
(-0.7, 1.8, 1.4)
(-0.7, 1.8, 2.8)
(-0.7, 1.8, 4.1)
(0.2, 1.8, 4.7)
(0.7, 1.8, 5.5)
(0.5, 1.8, 6.8)
(0.2, 1.8, 8.1)
(-0.1, 1.8, 9.5)
19, 5
(-0.3, 1.8, -0.2)
(-0.4, 1.8, 0.0)
(-0.7, 1.8, -0.2)
(-0.5, 1.8, -0.4)
(0.7, 1.8, 0.0)
(0.6, 1.8, 0.7)
(-0.5, 1.8, 1.5)
(-0.7, 1.8, 2.2)
(-0.7, 1.8, 2.8)
(-0.7, 1.8, 3.5)
(-0.7, 1.8, 4.2)
(-0.7, 1.8, 4.8)
(-0.7, 1.8, 5.5)
(-0.7, 1.8, 6.2)
(-0.7, 1.8, 7.3)
(-0.7, 1.8, 8.6)
19, 6
(-0.7, 1.8, -1.7)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.2, 1.8, -2.0)
(0.7, 1.8, -1.9)
(0.7, 1.8, -0.7)
(0.7, 1.8, 0.6)
(0.7, 1.8, 2.0)
(0.7, 1.8, 3.3)
(-0.4, 1.8, 3.9)
(-0.7, 1.8, 4.6)
(-0.6, 1.8, 6.0)
(-0.4, 1.8, 7.3)
(-0.3, 1.8, 8.7)
20, 1
(0.1, 1.8, -0.8)
(0.2, 1.8, 0.1)
(0.2, 1.8, 0.1)
(0.0, 1.8, 0.1)
(-0.7, 1.8, -0.3)
(-0.7, 1.8, 0.7)
(-0.7, 1.8, 2.1)
(-0.7, 1.8, 3.4)
(-0.7, 1.8, 4.6)
(-0.4, 1.8, 4.9)
(0.7, 1.8, 5.3)
(0.7, 1.8, 5.7)
(0.3, 1.8, 6.8)
(-0.7, 1.8, 6.7)
(-0.7, 1.8, 7.4)
(-0.8, 1.8, 8.7)
20, 2
(-0.2, 1.8, -0.9)
(-0.5, 1.8, 0.0)
(-0.3, 1.8, 0.0)
(0.7, 1.8, 0.5)
(0.7, 1.8, 0.8)
(-0.4, 1.8, 0.4)
(-0.7, 1.8, 1.0)
(-0.7, 1.8, 2.2)
(-0.7, 1.8, 3.2)
(-0.7, 1.8, 4.0)
(-0.6, 1.8, 4.9)
(-0.2, 1.8, 5.7)
(-0.2, 1.8, 7.0)
(0.7, 1.8, 7.7)
(0.7, 1.8, 8.9)
20, 3
(0.3, 1.8, -0.7)
(0.5, 1.8, 0.0)
(0.4, 1.8, 0.4)
(-0.2, 1.8, 1.6)
(-0.7, 1.8, 2.5)
(-0.7, 1.8, 3.7)
(-0.7, 1.8, 5.0)
(-0.7, 1.8, 6.1)
(-0.7, 1.8, 7.3)
(-0.7, 1.8, 8.5)
20, 4
(-0.2, 1.8, -1.2)
(-0.7, 1.8, -0.1)
(-0.7, 1.8, 0.1)
(-0.7, 1.8, 1.2)
(-0.6, 1.8, 2.4)
(0.2, 1.8, 3.4)
(-0.8, 1.8, 4.3)
(-0.7, 1.8, 4.7)
(-0.7, 1.8, 5.9)
(-0.7, 1.8, 7.0)
(-0.7, 1.8, 8.2)
(-1.2, 1.8, 9.3)
20, 5
(-0.7, 1.8, -0.4)
(-0.7, 1.8, 0.0)
(-0.7, 1.8, 0.7)
(-0.7, 1.8, 1.7)
(0.2, 1.8, 2.6)
(-0.4, 1.8, 3.7)
(-0.7, 1.8, 4.3)
(-0.7, 1.8, 4.6)
(-0.7, 1.8, 5.3)
(-0.7, 1.8, 6.5)
(-0.7, 1.8, 7.6)
(-0.8, 1.8, 8.7)
20, 6
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.0, 1.8, -1.5)
(0.6, 1.8, -2.0)
(0.7, 1.8, -2.0)
(0.7, 1.8, -1.9)
(0.7, 1.8, -1.7)
(0.7, 1.8, -0.4)
(0.6, 1.8, 1.0)
(0.6, 1.8, 2.4)
(0.5, 1.8, 3.7)
(0.5, 1.8, 5.1)
(0.4, 1.8, 6.5)
(0.4, 1.8, 7.8)
(0.3, 1.8, 9.2)
21, 1
(-0.1, 1.8, -0.4)
(-0.2, 1.8, 0.3)
(-0.1, 1.8, 0.9)
(0.6, 1.8, 2.0)
(0.7, 1.8, 3.1)
(0.7, 1.8, 4.2)
(0.7, 1.8, 5.1)
(0.6, 1.8, 6.2)
(0.5, 1.8, 7.5)
(0.3, 1.8, 8.9)
21, 2
(-0.1, 1.8, -0.6)
(-0.2, 1.8, 0.4)
(-0.3, 1.8, 1.4)
(-0.5, 1.8, 2.7)
(-0.7, 1.8, 4.1)
(-0.7, 1.8, 5.4)
(-0.7, 1.8, 6.7)
(-0.7, 1.8, 8.1)
21, 3
(0.0, 1.0, -1.4)
(-0.2, 1.8, -0.1)
(-0.3, 1.8, 0.4)
(-0.4, 1.8, 1.6)
(-0.6, 1.8, 3.0)
(-0.7, 1.8, 4.3)
(-0.7, 1.8, 5.7)
(-0.7, 1.8, 7.0)
(-0.7, 1.8, 8.3)
21, 4
(0.0, 1.8, -1.2)
(-0.2, 1.8, 0.1)
(-0.3, 1.8, 0.5)
(-0.5, 1.8, 1.8)
(-0.7, 1.8, 3.2)
(-0.7, 1.8, 4.5)
(-0.7, 1.8, 5.9)
(-0.7, 1.8, 7.2)
(-0.7, 1.8, 8.5)
21, 5
(-0.1, 1.8, -1.0)
(-0.3, 1.8, 0.3)
(-0.3, 1.8, 0.4)
(-0.3, 1.8, 0.4)
(0.7, 1.8, 0.5)
(0.7, 1.8, 0.9)
(0.7, 1.8, 2.0)
(0.7, 1.8, 3.4)
(-0.3, 1.8, 4.4)
(-0.7, 1.8, 5.3)
(-0.7, 1.8, 6.3)
(-0.7, 1.8, 7.7)
(-0.6, 1.8, 9.0)
21, 6
(0.6, 1.8, -0.8)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.7, 1.8, 0.2)
(0.3, 1.8, -0.1)
(0.3, 1.8, -0.1)
(0.3, 1.8, -0.1)
(0.1, 1.8, 0.4)
(0.1, 1.8, 0.6)
(0.7, 1.8, 0.9)
(0.4, 1.8, 1.0)
(-0.5, 1.8, 0.8)
(-0.7, 1.8, 2.1)
(-0.7, 1.8, 3.3)
(-0.7, 1.8, 4.5)
(-0.7, 1.8, 4.2)
(-0.7, 1.8, 4.7)
(-0.7, 1.8, 5.9)
(-0.7, 1.8, 7.1)
(-0.7, 1.8, 8.4)
22, 1
(-0.1, 1.6, -1.3)
(-0.6, 1.8, -0.3)
(-0.6, 1.8, -0.2)
(-0.6, 1.8, -0.2)
(-0.6, 1.8, -0.2)
(-0.6, 1.8, -0.2)
(-0.6, 1.8, -0.2)
(0.6, 1.8, -0.2)
(0.7, 1.8, -0.1)
(0.2, 1.8, -0.1)
(-0.7, 1.8, -0.3)
(-0.7, 1.8, -0.5)
(-0.7, 1.8, 0.6)
(-0.7, 1.8, 1.9)
(-0.7, 1.8, 2.7)
(-0.7, 1.8, 3.7)
(-0.5, 1.8, 4.9)
(-0.2, 1.8, 6.1)
(0.2, 1.8, 6.8)
(0.7, 1.8, 6.7)
(0.7, 1.8, 6.7)
(0.7, 1.8, 7.6)
(0.5, 1.8, 8.9)
22, 2
(-0.2, 1.8, -0.7)
(-0.4, 1.8, 0.0)
(-0.4, 1.8, 0.0)
(-0.4, 1.8, 0.0)
(-0.4, 1.8, 0.0)
(-0.4, 1.8, 0.0)
(-0.1, 1.8, 0.0)
(0.7, 1.8, 0.1)
(0.4, 1.8, 0.2)
(-0.7, 1.8, -0.3)
(-0.7, 1.8, 0.8)
(-0.7, 1.8, 2.0)
(-0.7, 1.8, 3.2)
(-0.7, 1.8, 4.3)
(-0.7, 1.8, 5.5)
(-0.7, 1.8, 6.7)
(-0.7, 1.8, 7.8)
(-0.8, 1.8, 8.8)
22, 3
(-0.4, 1.8, -1.1)
(-0.7, 1.8, -0.4)
(-0.7, 1.8, -0.4)
(-0.7, 1.8, -0.4)
(-0.7, 1.8, -0.2)
(-0.6, 1.8, 0.8)
(0.6, 1.8, 0.8)
(0.7, 1.8, 0.7)
(-0.2, 1.8, 0.7)
(-0.7, 1.8, 0.8)
(-0.7, 1.8, 1.9)
(-0.7, 1.8, 3.3)
(-0.7, 1.8, 4.7)
(-0.7, 1.8, 6.0)
(-0.7, 1.8, 7.3)
(-0.7, 1.8, 8.6)
22, 4
(-0.2, 1.8, -1.1)
(-0.6, 1.8, -0.3)
(-0.6, 1.8, -0.3)
(-0.6, 1.8, -0.3)
(-0.6, 1.8, 0.6)
(0.2, 1.8, 1.1)
(0.7, 1.8, 1.2)
(0.7, 1.8, 2.4)
(-0.3, 1.8, 2.6)
(-0.7, 1.8, 3.6)
(-0.7, 1.8, 4.9)
(-0.7, 1.8, 6.2)
(-0.7, 1.8, 7.5)
(-0.8, 1.8, 8.8)
22, 5
(-0.3, 1.8, -0.9)
(-0.7, 1.8, -0.1)
(-0.7, 1.8, -0.1)
(-0.6, 1.8, -0.1)
(0.6, 1.8, 0.2)
(0.7, 1.8, 0.6)
(-0.2, 1.8, 0.3)
(-0.7, 1.8, 0.6)
(-0.7, 1.8, 1.8)
(-0.7, 1.8, 3.1)
(-0.7, 1.8, 4.2)
(-0.7, 1.8, 5.3)
(-0.7, 1.8, 6.4)
(-0.6, 1.8, 7.8)
(-0.4, 1.8, 9.1)
22, 6
(0.0, 1.8, -1.4)
(0.0, 1.8, -1.4)
(0.0, 1.8, -1.4)
(0.0, 1.8, -1.4)
(0.0, 1.8, -1.4)
(0.0, 1.8, -1.4)
(0.0, 1.8, -1.4)
(0.0, 1.8, -1.4)
(0.0, 1.8, -1.4)
(0.1, 1.8, -1.1)
(0.5, 1.8, -0.7)
(0.7, 1.8, -0.8)
(0.7, 1.8, 0.1)
(0.7, 1.8, 1.5)
(0.7, 1.8, 2.8)
(0.7, 1.8, 4.2)
(0.6, 1.8, 5.6)
(0.4, 1.8, 6.9)
(0.2, 1.8, 8.3)
23, 1
(-0.1, 1.4, -1.3)
(-0.5, 1.8, -0.1)
(-0.5, 1.8, 0.0)
(-0.6, 1.8, 0.0)
(-0.7, 1.8, -0.1)
(-0.7, 1.8, 0.5)
(-0.7, 1.8, 0.5)
(0.1, 1.8, -0.3)
(0.7, 1.8, 0.2)
(0.7, 1.8, 1.4)
(0.3, 1.8, 2.6)
(0.2, 1.8, 3.3)
(0.7, 1.8, 4.5)
(0.7, 1.8, 5.3)
(0.7, 1.8, 5.7)
(0.7, 1.8, 5.1)
(0.7, 1.8, 4.4)
(0.7, 1.8, 4.0)
(0.7, 1.8, 3.9)
(0.7, 1.8, 4.4)
(0.7, 1.8, 5.1)
(0.7, 1.8, 5.5)
(0.7, 1.8, 6.2)
(0.7, 1.8, 6.9)
(0.7, 1.8, 7.6)
(0.7, 1.8, 7.8)
(0.7, 1.8, 7.8)
(0.7, 1.8, 7.8)
(0.7, 1.8, 7.0)
(0.7, 1.8, 5.6)
(0.7, 1.8, 4.3)
(0.7, 1.8, 3.0)
(0.7, 1.8, 1.6)
(0.7, 1.8, 0.3)
(0.7, 1.8, -1.0)
(0.6, 1.8, -2.0)
(0.2, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.5, 1.8, -2.0)
(0.5, 1.8, -1.4)
(0.7, 1.8, -1.2)
(0.7, 1.8, -1.2)
(0.6, 1.8, -0.3)
(0.4, 1.8, 1.1)
(0.1, 1.8, 2.4)
(-0.1, 1.8, 3.8)
(-0.5, 1.8, 5.1)
(-0.7, 1.8, 6.4)
(-0.7, 1.8, 7.7)
(-0.9, 1.8, 9.0)
23, 2
(-0.3, 1.8, -0.6)
(-0.5, 1.8, 0.0)
(-0.5, 1.8, 0.0)
(-0.5, 1.8, 0.0)
(-0.3, 1.8, 0.0)
(0.7, 1.8, 0.0)
(0.5, 1.8, 0.1)
(-0.2, 1.8, 0.0)
(-0.2, 1.8, 0.0)
(-0.2, 1.8, 0.1)
(-0.5, 1.8, 1.2)
(-0.7, 1.8, 2.4)
(-0.7, 1.8, 3.8)
(-0.7, 1.8, 5.0)
(-0.7, 1.8, 6.3)
(-0.5, 1.8, 7.4)
(-0.4, 1.8, 8.8)
23, 3
(0.0, 1.8, -0.8)
(0.0, 1.8, -0.1)
(0.0, 1.8, -0.1)
(0.0, 1.8, 0.1)
(-0.1, 1.8, 1.4)
(-0.2, 1.8, 2.0)
(-0.7, 1.8, 2.0)
(-0.7, 1.8, 3.0)
(-0.7, 1.8, 3.0)
(-0.7, 1.8, 4.1)
(-0.7, 1.8, 5.3)
(-0.7, 1.8, 6.6)
(-0.5, 1.8, 7.9)
(-0.2, 1.8, 9.2)
23, 4
(0.1, 1.8, -0.3)
(0.2, 1.8, 0.1)
(0.2, 1.8, 0.1)
(0.0, 1.8, 0.8)
(-0.3, 1.8, 2.1)
(-0.6, 1.8, 3.5)
(-0.7, 1.8, 4.8)
(-0.7, 1.8, 6.1)
(-0.7, 1.8, 7.4)
(-0.7, 1.8, 8.7)
23, 5
(-0.2, 1.8, -1.0)
(-0.5, 1.8, -0.2)
(-0.5, 1.8, -0.2)
(-0.2, 1.8, -0.2)
(0.7, 1.8, -0.3)
(0.7, 1.8, -0.3)
(0.7, 1.8, 1.0)
(0.7, 1.8, 1.3)
(0.6, 1.8, 1.7)
(0.4, 1.8, 2.9)
(0.0, 1.8, 2.8)
(-0.7, 1.8, 2.6)
(-0.7, 1.8, 3.1)
(-0.7, 1.8, 4.4)
(-0.7, 1.8, 5.8)
(-0.7, 1.8, 7.1)
(-0.7, 1.8, 8.4)
23, 6
(0.0, 1.8, -1.4)
(0.0, 1.8, -1.4)
(0.0, 1.8, -1.4)
(0.0, 1.8, -1.4)
(0.0, 1.8, -1.4)
(0.0, 1.8, -0.7)
(0.2, 1.8, -0.6)
(0.7, 1.8, -1.2)
(0.7, 1.8, -1.9)
(0.7, 1.8, -1.2)
(0.7, 1.8, 0.1)
(0.7, 1.8, 1.4)
(0.7, 1.8, 2.7)
(0.7, 1.8, 4.1)
(0.7, 1.8, 5.4)
(0.7, 1.8, 6.8)
(0.7, 1.8, 8.2)
24, 1
(0.0, 1.2, -1.4)
(-0.1, 1.8, 0.0)
(-0.2, 1.8, 0.4)
(-0.2, 1.8, 0.4)
(-0.2, 1.8, 0.4)
(-0.7, 1.8, 0.1)
(-0.7, 1.8, 1.0)
(-0.7, 1.8, 2.3)
(-0.7, 1.8, 3.6)
(-0.7, 1.8, 4.8)
(-0.7, 1.8, 6.1)
(-0.7, 1.8, 7.3)
